subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p,group
LV001,raw,Averaging,mll,1055.4518538740988,2117.608122103162,0.3032882914379367,1.0,0.9986236136309384,0.6,4000,1.5,Low Vision
LV002,raw,Averaging,mll,845.3788570380801,1697.4621284311245,0.6920764134956905,1.0,0.9990235924928296,0.6,4000,1.5,Low Vision
LV003,raw,Averaging,mll,833.6348449390739,1673.9741042331118,0.8265347100291089,1.0,0.981081620368612,0.6,4000,1.5,Low Vision
LV005,raw,Averaging,mll,959.9858757294462,1926.6761658138564,0.7130828370541606,1.0,0.976391504889571,0.6,4000,1.5,Low Vision
LV007,raw,Averaging,mll,593.9810513235436,1194.6665170020513,0.860214988056603,1.0,0.741472019003091,0.6,4000,1.5,Low Vision
LV008,raw,Averaging,mll,1039.0895373824396,2084.8834891198435,0.2621423185580535,1.0,0.9987315070654856,0.6,4000,1.5,Low Vision
LV009,raw,Averaging,mll,878.4095145065357,1763.5234433680355,0.64449039968143,1.0,0.7383051385319758,0.6,4000,1.5,Low Vision
LV011,raw,Averaging,mll,893.4155231426967,1793.535460640357,0.610646777603957,1.0,0.9988242090096908,0.6,4000,1.5,Low Vision
LV012,raw,Averaging,mll,1251.2425274595932,2509.1894692741507,0.0362091006353657,1.0,0.9989084322793728,0.6,4000,1.5,Low Vision
LV013,raw,Averaging,mll,1325.353114377022,2657.410643109008,-0.0280537554638016,1.0,0.9986260532222442,0.6,4000,1.5,Low Vision
LV015,raw,Averaging,mll,663.2612206634614,1333.2268556818867,0.7093682984608181,1.0,0.5050469252198393,0.6,4000,1.5,Low Vision
LV016,raw,Averaging,mll,1320.7422455759463,2648.188905506857,-0.0017861419373286,1.0,0.9990402887156058,0.6,4000,1.5,Low Vision
LV017,raw,Averaging,mll,662.9094894359345,1332.523393226833,0.724759227929759,1.0,0.4632739010048459,0.6,4000,1.5,Low Vision
LV018,raw,Averaging,mll,602.8161512795334,1212.3367169140308,0.8400043927186347,1.0,0.8380770075949106,0.6,4000,1.5,Low Vision
LV019,raw,Averaging,mll,703.57521662597,1413.854847606904,0.7970935674482723,1.0,0.9608017693619326,0.6,4000,1.5,Low Vision
LV020,raw,Averaging,mll,823.0109406278975,1652.726295610759,0.7738156683072513,1.0,0.992982491368419,0.6,4000,1.5,Low Vision
