sid,group,eye,glasses,n_flash,n_beep,response,accuracy,rt,location,deg,visibility
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.5681458000000248,17,10,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.7892393999999285,1,5,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.5878907000000027,7,5,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.5613736000000245,5,10,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.6226483000000371,16,5,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.8569809000000532,2,10,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.7228578000000425,14,10,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.706331299999988,3,15,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.5751308999999765,20,10,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.5672746000000188,9,15,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.6229767999999467,19,5,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.5672748999999158,22,5,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.6551615000000766,23,10,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.5581293999999843,8,10,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.5712142999999514,4,5,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.6054219999999759,15,15,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.560236400000008,11,10,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.6216828000000305,6,15,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.5608339999999998,18,15,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.6725099999999884,10,5,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.6059254000000465,24,15,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.7229228999999577,13,5,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.5590669000000617,12,15,Visible
SV201,Sighted Control,L,na,0.0,0.0,0,1,0.8215844000000061,21,15,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,3.7494668999999874,3,15,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.6066294999999968,7,5,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5686275000000194,1,5,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5617649999999799,16,5,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5615958999999862,20,10,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5898547000000178,15,15,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5586793999999884,13,5,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.9567492999999843,9,15,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.58880529999999,14,10,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5614276999999959,23,10,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.588992200000007,8,10,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5611055999999905,11,10,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.6556678000000034,24,15,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5606116999999813,19,5,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.82499660000002,18,15,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.7062293999999838,22,5,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.6905846000000224,4,5,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.641361800000027,10,5,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5721022000000175,5,10,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5620131000000015,21,15,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5657122000000072,6,15,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5631248000000255,17,10,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.5636266999999862,12,15,Visible
SV201,Sighted Control,R,na,0.0,0.0,0,1,0.8900679999999852,2,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.9155414999999039,6,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.821701599999983,20,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5650860000000648,24,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.602747700000009,7,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6717830000000049,2,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5889808000000585,6,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5652772999999343,1,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.8749513000000206,10,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5882175000000416,20,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5695697999999538,5,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5655729999999721,17,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5648381999999401,4,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5639698999999609,19,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.560302800000045,1,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.561738699999978,5,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.673655300000064,7,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5685042999999723,15,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5578785999999809,9,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5667748999999276,1,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,1.254145900000026,16,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.9060303999999633,8,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,1.007651399999986,15,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6418275999999423,14,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6885305000000699,19,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6058292999999821,15,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5605913000000555,15,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.7060404000000062,14,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.687582099999986,22,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.605014800000049,6,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6393980000000283,21,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5590028999999959,1,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5620959000000312,2,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6557986000000255,4,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5523971000000074,17,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5601267999999209,18,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5670472000000473,20,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.7227450999999974,8,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.7222698000000491,19,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6231416000000536,14,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6054200999999466,11,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5660267999999178,16,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,1.10528869999996,19,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5649432000000161,3,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.7725041999999576,13,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6059891999999536,6,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5608982999999625,23,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,0,0,0.5610616000000164,9,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5643893999999818,3,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,1.640237500000012,12,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6896622000000434,4,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6905293999999458,23,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.607114499999966,1,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5537514000000101,4,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5528849999999466,18,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5667708000000857,2,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5592298000000255,19,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5892820000000256,16,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6389504999999644,16,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6052609999999277,10,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5640452999999752,17,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5665308000000095,11,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5611400000000231,8,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,1.0891313999999284,22,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6064961000000721,14,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5591375999999855,10,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5648085999999921,21,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5642960999999787,23,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5642520000000104,3,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.9400367000000642,3,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5568094000000201,20,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5719358000000057,11,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.654989999999998,11,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6392989999999372,22,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5618762999999944,12,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5600130999999919,22,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,1.0901065000000472,8,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5605570000000171,13,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5559682000000521,5,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5695166000000427,21,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6726211000000148,14,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.562379700000065,18,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.605772600000023,18,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6227788999999575,13,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.7056766999999127,23,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6720692999999756,9,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5597998000000644,12,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6235340000000633,7,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5613333999999668,7,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5891095000000632,23,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5632505999999466,9,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6560341000000562,18,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5624541000000818,21,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5615110999999615,7,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.7367759999999635,8,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.755672699999991,10,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6900882999999567,9,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.7054030000000466,4,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6894504000000552,12,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6222156999999697,24,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5618322000000262,20,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5627618000000894,12,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.561611599999992,11,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5580668999999716,6,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6221918999999616,15,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6051529000000073,13,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,1.4720866000000115,24,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5878486000000294,3,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.9059555000000046,2,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5876988999999639,17,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.7724277000000939,24,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6565530000000308,16,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.605748100000028,21,15,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5659773999999516,10,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6065737999999783,13,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6560414000000492,5,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.6397415999999794,2,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5604671999999482,5,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.559428099999991,22,5,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,0.5615275000000111,17,10,Visible
SV201,Sighted Control,L,na,1.0,0.0,1,1,1.1884489000000258,24,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7231871000000041,20,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.8231952999999947,7,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5652062999999998,8,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5586255999999992,5,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5647193000000073,7,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5897900999999877,19,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.6232172999999932,19,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.623102700000004,24,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.6735074999999995,23,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.6565570999999863,7,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7571853000000033,2,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.6067722000000231,11,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5679706999999894,1,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.773562400000003,20,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5668699000000004,14,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.564020400000004,4,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7235344999999995,14,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5735385999999778,23,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.556221800000003,3,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5675940000000139,21,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.6568635000000143,11,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5622946999999954,21,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.6239151000000049,6,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.573928699999982,9,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7402878000000044,16,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5742345000000171,12,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5595640999999887,23,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5615651999999898,15,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,3.9738658999999927,16,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.623017300000015,15,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5632660999999928,13,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5616019999999935,14,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5549683999999786,22,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.8056803000000059,11,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,2.156073099999986,7,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.8562174999999854,2,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7895529999999837,18,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7044783999999993,21,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5592599999999948,8,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5657272999999918,20,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5605197000000146,12,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7552457999999831,16,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,1.6222621999999944,17,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,1.0896932000000277,18,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7892210999999918,9,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7225248999999963,6,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.6237854999999968,4,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.564444199999997,9,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7732330999999988,24,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5743160000000103,10,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5621764000000553,23,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5635849999999891,20,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5595577999999932,16,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5586384999999723,3,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.566302300000018,10,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5570126000000073,12,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5542421000000104,13,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5628409000000261,21,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5594351999999958,19,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5648863999999776,24,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.6056490999999937,2,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,1.4559088999999972,14,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.9224603000000116,17,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7056023000000096,18,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7709821999999917,20,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5626409000000194,17,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.561237799999958,12,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5594210999999518,22,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,1.5045531999999753,16,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.8063106000000175,1,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.805034199999966,10,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.8578806000000441,22,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.8724065999999766,11,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.9060570999999982,6,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.8406625000000076,5,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.8044577000000004,5,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5871973000000139,11,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,1.5396274999999946,22,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.8223788999999897,8,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7902546999999913,13,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7892659000000322,7,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7898427000000083,10,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.821118800000022,6,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7569407999999953,22,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5652382000000102,13,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5624837999999954,18,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5756854999999632,10,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.569421200000022,18,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5585874000000217,6,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5610495999999898,9,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7737404000000083,19,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.9059101999999939,4,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.9050535000000082,21,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,1.7057297999999719,9,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5712323999999853,3,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.8749584000000254,15,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7572040000000015,1,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.6564982000000441,8,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7066780000000108,24,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7734676999999692,17,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5611855000000219,15,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5556684000000018,5,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5596184999999991,13,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5890277999999967,1,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5726230999999871,23,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.556904999999972,1,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5625099000000091,4,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5654544000000215,17,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5611455999999748,15,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5648334999999634,5,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5670667999999637,19,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5649308000000133,8,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5623079999999732,3,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5605390999999713,2,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5658738999999855,14,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5635172000000352,4,5,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5610308000000259,12,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.7558047999999644,2,10,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5886046999999621,3,15,Visible
SV201,Sighted Control,R,na,1.0,0.0,1,1,0.5710983999999826,24,15,Visible
SV201,Sighted Control,L,na,1.0,1.0,1,1,0.563702400000011,4,5,Visible
SV201,Sighted Control,L,na,1.0,1.0,1,1,0.5883349999999155,5,10,Visible
SV201,Sighted Control,L,na,1.0,1.0,1,1,0.5651697000000695,24,15,Visible
SV201,Sighted Control,L,na,1.0,1.0,1,1,0.5721409000000222,6,15,Visible
SV201,Sighted Control,L,na,1.0,1.0,1,1,0.5655477000000246,12,15,Visible
