sid,group,eye,glasses,n_flash,n_beep,response,accuracy,rt,location,deg,visibility
SV110,Sighted Control,L,na,0.0,0.0,0,1,3.458965100115165,21,15,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,1.6431531999260187,23,10,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,1.1425844999030232,22,5,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,1.0586091000586748,4,5,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.7579368001315743,14,10,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.9756968000438064,20,10,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.8756533002015203,18,15,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.9094595001079142,6,15,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,1.0096375001594424,10,5,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.876284800004214,7,5,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.9256663001142442,19,5,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.8598740000743419,3,15,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.9426254001446068,16,5,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.875774199841544,2,10,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.8263194998726249,11,10,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.8927292001899332,13,5,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.8927760999649763,15,15,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,1.0588406999595463,9,15,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,1.1590558998286724,8,10,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.9593881999608129,1,5,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.9259496000595391,5,10,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.676428799983114,12,15,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.7594445000868291,17,10,Visible
SV110,Sighted Control,L,na,0.0,0.0,0,1,0.8760494999587536,24,15,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,1.2916854000650346,20,10,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.7422671997919679,11,10,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.7257819999940693,4,5,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.8592123000416905,6,15,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.6915888998191804,21,15,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.8926818000618368,16,5,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.7594611998647451,24,15,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.9760014000348747,15,15,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.7758224001154304,14,10,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.7593394001014531,22,5,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.8261405001394451,18,15,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.8426659000106156,12,15,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.8758958000689745,23,10,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,1.626200000056997,5,10,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.8926385000813752,8,10,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.8095871000550687,10,5,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.5423886999487877,9,15,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,1.0928356999065727,2,10,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.7425925000570714,7,5,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.7759088999591768,3,15,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.793345799902454,1,5,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.7427443000487983,13,5,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.6761187000665814,19,5,Visible
SV110,Sighted Control,R,na,0.0,0.0,0,1,0.5931208999827504,17,10,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,2.617470799945295,10,5,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,1.1090826999861747,9,15,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,1.0588865999598056,10,5,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,1.126010000007227,24,15,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,0.9248295000288635,11,10,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,0.8593673000577837,17,10,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,2.126527199987322,7,5,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,4.392924100160599,13,5,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,1.709557200083509,21,15,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,1.3928541999775916,18,15,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,2.2928832001052797,23,10,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,2.309505600016564,9,15,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,0.892907900037244,18,15,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,0.992492499994114,3,15,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,1.1423951999749988,7,5,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,0.8099762999918312,14,10,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,1.842545999912545,23,10,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,0.9093212001025677,20,10,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,1.7762983997818083,11,10,Visible
SV110,Sighted Control,L,na,1.0,0.0,1,1,1.3929497001226991,15,15,Visible
