sid,group,eye,glasses,n_flash,n_beep,response,accuracy,rt,location,deg,visibility
SV111,Sighted Control,L,na,0.0,0.0,0,1,1.7679516000207514,22,5,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.9756599999964237,23,10,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.8094541002064943,12,15,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.9593726999592036,21,15,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.7427191000897437,2,10,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.9261876000091434,14,10,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.7260479000397027,10,5,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.8592556000221521,3,15,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.7593291001394391,24,15,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.6589780000504106,9,15,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,1.493232100037858,17,10,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.5096789000090212,4,5,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.9929853000212461,5,10,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.7592656000051647,13,5,Visible
SV111,Sighted Control,L,na,0.0,0.0,1,0,0.6926078000105917,20,10,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.7093256001826376,16,5,Visible
SV111,Sighted Control,L,na,0.0,0.0,1,0,4.009545200038701,1,5,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.9259849998634309,19,5,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,1.0592092999722809,7,5,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.642079500015825,6,15,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.5930797001346946,18,15,Visible
SV111,Sighted Control,L,na,0.0,0.0,1,0,0.9258262999355793,8,10,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,1.292400199919939,11,10,Visible
SV111,Sighted Control,L,na,0.0,0.0,0,1,0.7759867000859231,15,15,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.9588754000142217,23,10,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,1.4421256999485195,18,15,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.8759001998696476,22,5,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.6093176000285894,6,15,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,1.008535800036043,10,5,Visible
SV111,Sighted Control,R,na,0.0,0.0,1,0,1.6758540999144316,24,15,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.7265485001262277,2,10,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.8426477999892086,16,5,Visible
SV111,Sighted Control,R,na,0.0,0.0,1,0,0.6094681001268327,13,5,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.8755375000182539,12,15,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.3093441999517381,9,15,Invisible
SV111,Sighted Control,R,na,0.0,0.0,1,0,0.6263999999500811,3,15,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.39225179981440306,21,15,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.8261311000678688,5,10,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.659025999950245,1,5,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.5427004001103342,4,5,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,1.1426573998760432,15,15,Visible
SV111,Sighted Control,R,na,0.0,0.0,1,0,0.7430183999240398,20,10,Visible
SV111,Sighted Control,R,na,0.0,0.0,1,0,0.6925154000055045,7,5,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,3.943298199912533,8,10,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.6260762000456452,19,5,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.7760501001030207,11,10,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,1.0761585000436753,14,10,Visible
SV111,Sighted Control,R,na,0.0,0.0,0,1,0.9428937002085149,17,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.7258176999166608,2,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,1.0761293000541627,21,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,0,0,1.125753999920562,12,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,1.0082138997968286,18,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,1.158308600075543,18,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,2.142849100055173,5,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.9262647998984903,3,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.8427976998500526,6,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.6260682998690754,19,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,1.3760158000513911,9,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,1.3092996999621391,10,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5267282000277191,11,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,1.326162900077179,2,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.8431016001850367,5,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,1.0424011000432074,4,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5260414998047054,6,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.8427079000975937,7,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.7427719000261277,24,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5924964000005275,10,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.49290450010448694,20,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5093247001059353,7,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.37640160019509494,13,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.4429784999229014,15,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.42606199998408556,23,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.4428042001090944,21,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.6426433001179248,23,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5926780998706818,11,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.42622800008393824,15,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5426614999305457,3,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.40926950005814433,17,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5430672001093626,4,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.7758462000638247,19,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5427604999858886,8,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.42608350003138185,2,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.4925777998287231,14,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5422481000423431,11,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.7759370999410748,1,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5094787999987602,24,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.3097718998324126,4,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5756886000744998,13,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.6262028000783175,22,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.7926871001254767,22,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.4930300998967141,2,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.2927190999034792,23,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.3433532000053674,20,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5426252000033855,18,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.9427169000264257,12,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.7765717001166195,5,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.37569490005262196,14,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5092615999747068,20,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,1.1091388000641018,7,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.6260280001442879,13,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.7094705000054091,8,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5099122999235988,21,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5428395001217723,15,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,1.1257752000819892,8,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.592889699852094,16,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.4094040000345558,6,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.49300880008377135,16,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.3594776999671012,18,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.25938220019452274,1,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.30924500012770295,20,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,1.9602004000917077,8,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,1.2097031001467258,21,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5927661000750959,12,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.4762204000726342,14,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,1.0093807000666857,10,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.4929661999922246,14,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.3759886999614537,15,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.4264120999723673,7,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.40981579991057515,3,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.6095297001302242,5,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.24272789992392063,19,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.392774699954316,10,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.45938030001707375,6,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,0,0,3.0761134000495076,12,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.15927099995315075,22,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.34294290002435446,22,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.44251920003443956,19,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.27638369984924793,11,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.45978059992194176,24,15,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.5597210000269115,13,5,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.392430700128898,2,10,Visible
SV111,Sighted Control,L,na,1.0,0.0,1,1,0.7761293000075966,16,5,Visible
