sid,group,eye,glasses,n_flash,n_beep,response,accuracy,rt,location,deg,visibility
SV213,Sighted Control,L,with,0.0,0.0,0,1,1.0556899000657722,17,10,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.7920604000100866,1,5,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.973991799983196,7,5,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.5600496999686584,5,10,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.5553871999727562,16,5,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,1.2070997999981046,2,10,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,1.07250979996752,14,10,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,1.3392788000637665,3,15,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.6058076000772417,20,10,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,1.339897400001064,9,15,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,1.2407302000792697,19,5,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.8227354999398813,22,5,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.8889027999248356,23,10,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,3.655939899967052,8,10,Visible
SV213,Sighted Control,L,with,0.0,0.0,1,0,3.922674100031145,4,5,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.8892084000399336,15,15,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.8218827999662608,11,10,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.7224117999430746,6,15,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.6224188000196591,18,15,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.9215174000710249,10,5,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.6225722999079153,24,15,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.8895919000497088,13,5,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,0.7058598999865353,12,15,Visible
SV213,Sighted Control,L,with,0.0,0.0,0,1,2.955578799941577,21,15,Visible
SV213,Sighted Control,R,with,0.0,0.0,0,1,1.07273609994445,1,5,Visible
SV213,Sighted Control,R,with,0.0,0.0,0,1,0.6725037000142038,15,15,Visible
