subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p,group
LV001,raw,Averaging,mll,1161.6705779359258,2330.045570226816,0.3342197228401798,1.0,0.9838286899008774,0.2,4000,1.5,Low Vision
LV002,raw,Averaging,mll,481.0387571450381,968.7819286450404,0.8846954791353512,1.0,0.997634542730958,0.2,4000,1.5,Low Vision
LV003,raw,Averaging,mll,489.1446375707917,984.9936894965474,0.9220489472488484,1.0,0.9654017172929488,0.2,4000,1.5,Low Vision
LV005,raw,Averaging,mll,671.0963669024388,1348.8971481598417,0.7969512715119336,1.0,0.8785012265887513,0.2,4000,1.5,Low Vision
LV007,raw,Averaging,mll,182.1311712524032,370.9667568597705,0.9601246650509196,1.0,0.2690742687018023,0.2,4000,1.5,Low Vision
LV008,raw,Averaging,mll,1213.4629794019063,2433.630373158777,0.2683281148020573,1.0,0.983886429150415,0.2,4000,1.5,Low Vision
LV009,raw,Averaging,mll,803.6641423770553,1614.0326991090749,0.5425340868353203,1.0,0.3765833132627653,0.2,4000,1.5,Low Vision
LV011,raw,Averaging,mll,874.4446311864615,1755.593676727887,0.5653620649225163,1.0,0.9184996125441311,0.2,4000,1.5,Low Vision
LV012,raw,Averaging,mll,1434.5790937983206,2875.862601951605,0.1035709550855491,1.0,0.9839402978063252,0.2,4000,1.5,Low Vision
LV013,raw,Averaging,mll,1408.6208774816523,2823.9461693182693,0.1375882603092426,1.0,0.9838373759963228,0.2,4000,1.5,Low Vision
LV015,raw,Averaging,mll,236.84698585319296,480.3983860613501,0.800907041700551,1.0,0.2020178531857049,0.2,4000,1.5,Low Vision
LV016,raw,Averaging,mll,1401.1732767739218,2809.050967902808,0.1400487806115455,1.0,0.9838416861541552,0.2,4000,1.5,Low Vision
LV017,raw,Averaging,mll,148.0927115229406,302.8898374008453,0.8144491867454349,1.0,0.1987724716002243,0.2,4000,1.5,Low Vision
LV018,raw,Averaging,mll,133.9346490669788,274.57371248892173,0.988166955364248,1.0,0.2959137779765883,0.2,4000,1.5,Low Vision
LV019,raw,Averaging,mll,94.2342686905414,195.1729517360469,0.9987775376877748,1.0,0.4343228637713936,0.2,4000,1.5,Low Vision
LV020,raw,Averaging,mll,338.71646943724875,684.1373532294616,0.9566564574636284,1.0,0.5402508780930503,0.2,4000,1.5,Low Vision
LV021,raw,Averaging,mll,502.557453887388,1011.8193221297402,0.7581530804715433,1.0,0.232482256108111,0.2,4000,1.5,Low Vision
LV022,raw,Averaging,mll,1084.6323285961826,2175.9690715473293,0.3998789243773565,1.0,0.8349028080361325,0.2,4000,1.5,Low Vision
LV023,raw,Averaging,mll,1111.8198940056427,2230.3442023662496,0.4674665383739124,1.0,0.9837757932274795,0.2,4000,1.5,Low Vision
LV024,raw,Averaging,mll,1196.2877532579832,2399.2799208709307,0.4572038232578519,1.0,0.9800253791052932,0.2,4000,1.5,Low Vision
LV025,raw,Averaging,mll,1149.619300828385,2305.9430160117336,0.349991962063763,1.0,0.8691444264869157,0.2,4000,1.5,Low Vision
SV103,raw,Averaging,mll,267.42958077612474,541.5635759072136,0.9487326527373096,1.0,0.2607494476495398,0.2,4000,1.5,Control
SV110,raw,Averaging,mll,131.03721594278736,268.7788462405388,0.9843357215148614,1.0,0.2933580167095176,0.2,4000,1.5,Control
SV111,raw,Averaging,mll,309.5524272934604,625.809268941885,0.9754184617459656,1.0,0.4244073359102652,0.2,4000,1.5,Control
SV113,raw,Averaging,mll,134.39667947444198,275.4977733038481,0.9949587684226664,1.0,0.4637543963543828,0.2,4000,1.5,Control
SV119,raw,Averaging,mll,194.75368582672635,396.2117860084168,0.8798181267087599,1.0,0.2196425027872354,0.2,4000,1.5,Control
SV201,raw,Averaging,mll,105.87661781108731,218.45764997713877,0.9769921414410424,1.0,0.2701716496521572,0.2,4000,1.5,Control
SV202,raw,Averaging,mll,267.79719270411204,542.2987997631882,0.8022258382194924,1.0,0.1999782644770808,0.2,4000,1.5,Control
SV203,raw,Averaging,mll,40.27180891883121,87.24803219262652,0.994732296740132,1.0,0.4006122514001657,0.2,4000,1.5,Control
SV204,raw,Averaging,mll,144.06822298358006,294.84086032212423,0.9884591454605376,1.0,0.3929922940596493,0.2,4000,1.5,Control
SV205,raw,Averaging,mll,206.9608334527838,420.6260812605317,0.844300706013986,1.0,0.2082156476613149,0.2,4000,1.5,Control
SV206,raw,Averaging,mll,556.3223198006697,1119.3490539563034,0.8495295611391036,1.0,0.2811230927084537,0.2,4000,1.5,Control
SV207,raw,Averaging,mll,209.24327719286435,425.1909687406928,0.8104710802095709,1.0,0.2016833008735193,0.2,4000,1.5,Control
SV208,raw,Averaging,mll,157.3998374272245,321.5040892094131,0.9932292505206306,1.0,0.3263512030997164,0.2,4000,1.5,Control
SV209,raw,Averaging,mll,151.04026146737675,308.7849372897176,0.9937991988105116,1.0,0.3849917112208994,0.2,4000,1.5,Control
SV210,raw,Averaging,mll,81.00741551788865,168.7192453907414,0.9918654556669518,1.0,0.4439575401237012,0.2,4000,1.5,Control
SV211,raw,Averaging,mll,172.12393207139516,350.95227849775443,0.9235191168608212,1.0,0.2310698244178712,0.2,4000,1.5,Control
SV212,raw,Averaging,mll,163.7330667086028,334.1705477721697,0.826770528547253,1.0,0.2025944777893517,0.2,4000,1.5,Control
SV213,raw,Averaging,mll,107.90287870199845,222.51017175896095,0.995498374342528,1.0,0.338600838811072,0.2,4000,1.5,Control
SV214,raw,Averaging,mll,152.91922936129188,312.5428730775479,0.826438993256788,1.0,0.2018969566413999,0.2,4000,1.5,Control
SV215,raw,Averaging,mll,292.528213144297,591.7608406435581,0.9766399228471928,1.0,0.3766253025913963,0.2,4000,1.5,Control
SV216,raw,Averaging,mll,124.3339072419131,255.3722288387903,0.9487526450439148,1.0,0.246020160729776,0.2,4000,1.5,Control
LV001,visible,Averaging,mll,78.66449568205876,162.87025490927593,0.8848573843301598,1.0,0.2371645578483933,0.2,4000,1.5,Low Vision
LV002,visible,Averaging,mll,242.40609246749705,490.2103476365119,0.7999871936638887,1.0,0.8894835480612668,0.2,4000,1.5,Low Vision
LV003,visible,Averaging,mll,59.08314354275617,124.52586095418472,0.9964748369290184,1.0,0.3882251357871375,0.2,4000,1.5,Low Vision
LV005,visible,Averaging,mll,267.1055629854149,540.4116351448725,0.9201381036057666,1.0,0.4540820022324039,0.2,4000,1.5,Low Vision
LV007,visible,Averaging,mll,182.1311712524032,370.9667568597705,0.9601246650509196,1.0,0.2690742687018023,0.2,4000,1.5,Low Vision
LV008,visible,Averaging,mll,43.56489548289257,92.2655894028354,0.8413022383165616,1.0,0.2155290660340788,0.2,4000,1.5,Low Vision
LV009,visible,Averaging,mll,159.1808240270399,324.5621572281225,0.821697440764492,1.0,0.2060148873171265,0.2,4000,1.5,Low Vision
LV011,visible,Averaging,mll,219.51792678838865,444.8647991943874,0.7855550024059508,1.0,0.6510152792329952,0.2,4000,1.5,Low Vision
LV015,visible,Averaging,mll,209.7981725514221,426.2581998433896,0.8037595917383512,1.0,0.1987370437912755,0.2,4000,1.5,Low Vision
LV016,visible,Averaging,mll,53.70590860710556,112.0367900274954,0.765162610835121,1.0,0.2382223580595662,0.2,4000,1.5,Low Vision
LV017,visible,Averaging,mll,148.0927115229406,302.8898374008453,0.8144491867454349,1.0,0.1987724716002243,0.2,4000,1.5,Low Vision
LV018,visible,Averaging,mll,133.9346490669788,274.57371248892173,0.988166955364248,1.0,0.2959137779765883,0.2,4000,1.5,Low Vision
LV019,visible,Averaging,mll,86.036730776632,178.75682249903028,0.9985989583177808,1.0,0.4101182726970216,0.2,4000,1.5,Low Vision
LV020,visible,Averaging,mll,338.71646943724875,684.1373532294616,0.9566564574636284,1.0,0.5402508780930503,0.2,4000,1.5,Low Vision
LV021,visible,Averaging,mll,188.5369224311044,383.59593766037887,0.809422055336289,1.0,0.2017680351904688,0.2,4000,1.5,Low Vision
LV022,visible,Averaging,mll,225.85909627713903,457.6869001142634,0.7629222161665112,1.0,0.230468160952929,0.2,4000,1.5,Low Vision
LV023,visible,Averaging,mll,189.57429617025048,384.68985588565937,0.9043966092950196,1.0,0.8704338380907085,0.2,4000,1.5,Low Vision
LV024,visible,Averaging,mll,491.1700232981032,988.3513137706104,0.640359838292974,1.0,0.7117033194470558,0.2,4000,1.5,Low Vision
LV025,visible,Averaging,mll,250.69381287436923,507.2653615305181,0.7567903205658543,1.0,0.2452797704257965,0.2,4000,1.5,Low Vision
SV103,visible,Averaging,mll,241.14506812940817,488.9734972045826,0.9493755735805196,1.0,0.2542211811636765,0.2,4000,1.5,Control
SV110,visible,Averaging,mll,131.03721594278736,268.7788462405388,0.9843357215148614,1.0,0.2933580167095176,0.2,4000,1.5,Control
SV111,visible,Averaging,mll,274.8565809262827,556.3965227983316,0.97533689668363,1.0,0.420983782537612,0.2,4000,1.5,Control
SV113,visible,Averaging,mll,81.09925749714264,168.8603697348306,0.9956640655618426,1.0,0.400768182411943,0.2,4000,1.5,Control
SV119,visible,Averaging,mll,175.2048365385973,357.09303402296086,0.8798768633929154,1.0,0.2178779766933891,0.2,4000,1.5,Control
SV201,visible,Averaging,mll,105.87661781108731,218.45764997713877,0.9769921414410424,1.0,0.2701716496521572,0.2,4000,1.5,Control
SV202,visible,Averaging,mll,267.79719270411204,542.2987997631882,0.8022258382194924,1.0,0.1999782644770808,0.2,4000,1.5,Control
SV203,visible,Averaging,mll,40.27180891883121,87.24803219262652,0.994732296740132,1.0,0.4006122514001657,0.2,4000,1.5,Control
SV204,visible,Averaging,mll,144.06822298358006,294.84086032212423,0.9884591454605376,1.0,0.3929922940596493,0.2,4000,1.5,Control
SV205,visible,Averaging,mll,206.9608334527838,420.6260812605317,0.844300706013986,1.0,0.2082156476613149,0.2,4000,1.5,Control
SV206,visible,Averaging,mll,556.3223198006697,1119.3490539563034,0.8495295611391036,1.0,0.2811230927084537,0.2,4000,1.5,Control
SV207,visible,Averaging,mll,209.24327719286435,425.1909687406928,0.8104710802095709,1.0,0.2016833008735193,0.2,4000,1.5,Control
SV208,visible,Averaging,mll,157.3998374272245,321.5040892094131,0.9932292505206306,1.0,0.3263512030997164,0.2,4000,1.5,Control
SV209,visible,Averaging,mll,151.04026146737675,308.7849372897176,0.9937991988105116,1.0,0.3849917112208994,0.2,4000,1.5,Control
SV210,visible,Averaging,mll,81.00741551788865,168.7192453907414,0.9918654556669518,1.0,0.4439575401237012,0.2,4000,1.5,Control
SV211,visible,Averaging,mll,172.12393207139516,350.95227849775443,0.9235191168608212,1.0,0.2310698244178712,0.2,4000,1.5,Control
SV212,visible,Averaging,mll,163.7330667086028,334.1705477721697,0.826770528547253,1.0,0.2025944777893517,0.2,4000,1.5,Control
SV213,visible,Averaging,mll,107.90287870199845,222.51017175896095,0.995498374342528,1.0,0.338600838811072,0.2,4000,1.5,Control
